model,num_provers,avg_agent_inference_s,avg_agent_commit_s,avg_agent_total_prove_s,avg_agent_total_verify_s,avg_exchange_bytes,avg_exchange_mib,run_dir
Qwen/Qwen2-0.5B,1,1.191232908051461,0.327,9.879,0.078,0.0,0.0,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_01
Qwen/Qwen2-0.5B,2,0.6542520279763266,0.1525,2.9924999999999997,0.064,14336.0,0.013671875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_02
Qwen/Qwen2-0.5B,3,0.45771897735539824,0.10633333333333334,3.0813333333333333,0.08166666666666667,14336.0,0.013671875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_03
Qwen/Qwen2-0.5B,4,0.36419912648852915,0.0965,2.10825,0.06525,14336.0,0.013671875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_04
Qwen/Qwen2-0.5B,5,0.31175641596782955,0.08020000000000001,2.154,0.0708,14336.0,0.013671875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_05
Qwen/Qwen2-0.5B,6,0.27618038731937605,0.08166666666666667,2.169833333333333,0.07183333333333333,14336.0,0.013671875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_06
Qwen/Qwen2-0.5B,7,0.25524564298601554,0.06885714285714285,1.7067142857142856,0.06871428571428571,14336.0,0.013671875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_07
Qwen/Qwen2-0.5B,8,0.2271425619983347,0.061875,1.377,0.069125,14336.0,0.013671875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_172352_utc/provers_08
Qwen/Qwen2-1.5B,1,2.988342377007939,0.454,12.366,0.073,0.0,0.0,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_01
Qwen/Qwen2-1.5B,2,1.5159504424664192,0.33099999999999996,9.8,0.078,24576.0,0.0234375,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_02
Qwen/Qwen2-1.5B,3,1.0522325916681439,0.32933333333333337,9.703333333333333,0.07766666666666666,24576.0,0.0234375,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_03
Qwen/Qwen2-1.5B,4,0.7958401855139527,0.1555,2.97325,0.062,24576.0,0.0234375,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_04
Qwen/Qwen2-1.5B,5,0.6603652477730065,0.1482,3.047,0.0678,24576.0,0.0234375,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_05
Qwen/Qwen2-1.5B,6,0.5567410936734328,0.12216666666666667,3.168,0.07483333333333334,24576.0,0.0234375,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_06
Qwen/Qwen2-1.5B,7,0.5002455615904182,0.10342857142857143,3.088857142857143,0.07814285714285714,24576.0,0.0234375,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_07
Qwen/Qwen2-1.5B,8,0.4379312278761063,0.09875,2.598125,0.07200000000000001,24576.0,0.0234375,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_174314_utc/provers_08
Qwen/Qwen2-7B,1,12.755657393950969,1.083,21.791,0.062,0.0,0.0,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_01
Qwen/Qwen2-7B,2,6.27616313600447,0.591,12.957,0.054,57344.0,0.0546875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_02
Qwen/Qwen2-7B,3,4.197195361639994,0.45433333333333337,12.431666666666667,0.07066666666666667,57344.0,0.0546875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_03
Qwen/Qwen2-7B,4,3.164351273502689,0.3255,9.771,0.07775,57344.0,0.0546875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_04
Qwen/Qwen2-7B,5,2.545411667181179,0.3272,9.6756,0.07339999999999999,57344.0,0.0546875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_05
Qwen/Qwen2-7B,6,2.1215798149933107,0.32433333333333336,9.653666666666666,0.07883333333333334,57344.0,0.0546875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_06
Qwen/Qwen2-7B,7,1.8495566024212167,0.3231428571428571,9.705714285714286,0.07542857142857143,57344.0,0.0546875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_07
Qwen/Qwen2-7B,8,1.6124523103644606,0.250125,6.612,0.06962499999999999,57344.0,0.0546875,/home/ob3942/repos/TileCommitments/multiproversetting/output/sweeps/sweep_20260316_175310_utc/provers_08
